return_code,duration,identifier,success,iteration,input,codec_type,codec_slug,workflow_type,workflow_slug
0,39.68641638755798,workflow,True,1,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_photolithography_0-50,PhotolithographyChallengeWorkflow,photolithography-challenge
1,5.413189172744751,decoding,False,1,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_photolithography_0-50,PhotolithographyChallengeWorkflow,photolithography-challenge
0,39.536736249923706,workflow,True,2,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_photolithography_0-50,PhotolithographyChallengeWorkflow,photolithography-challenge
1,5.41464638710022,decoding,False,2,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_photolithography_0-50,PhotolithographyChallengeWorkflow,photolithography-challenge
0,39.64256143569946,workflow,True,3,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_photolithography_0-50,PhotolithographyChallengeWorkflow,photolithography-challenge
1,5.414045572280884,decoding,False,3,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_photolithography_0-50,PhotolithographyChallengeWorkflow,photolithography-challenge
