success,failed_at,iteration,input,codec_type,codec_slug,workflow_type,workflow_slug,filesize_byte,filesize_bit,n_sequences,n_bases,sequence_length,code_rate
False,,1,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_decay_0-40,DecayChallengeWorkflow,decay-challenge,51632,413056,6779,1030408,152.0,0.4008664529002104
False,,2,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_decay_0-40,DecayChallengeWorkflow,decay-challenge,51632,413056,6779,1030408,152.0,0.4008664529002104
False,,3,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_decay_0-40,DecayChallengeWorkflow,decay-challenge,51632,413056,6779,1030408,152.0,0.4008664529002104
