return_code,duration,identifier,success,iteration,input,codec_type,codec_slug,workflow_type,workflow_slug
0,49.50841569900513,workflow,True,1,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_photolithography_0-40,PhotolithographyChallengeWorkflow,photolithography-challenge
1,6.415249347686768,decoding,False,1,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_photolithography_0-40,PhotolithographyChallengeWorkflow,photolithography-challenge
0,49.302305459976196,workflow,True,2,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_photolithography_0-40,PhotolithographyChallengeWorkflow,photolithography-challenge
1,6.415820837020874,decoding,False,2,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_photolithography_0-40,PhotolithographyChallengeWorkflow,photolithography-challenge
0,49.30315542221069,workflow,True,3,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_photolithography_0-40,PhotolithographyChallengeWorkflow,photolithography-challenge
1,6.416109323501587,decoding,False,3,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_photolithography_0-40,PhotolithographyChallengeWorkflow,photolithography-challenge
