xaxis,,Input,,1.8x,,0.9x,,0.7x,,0.6x,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
67.85349233390116,-0.14317180616740077,-72.12504258943784,0.0006607929515418665,-71.19608177172063,-0.0014737685222263597,-87.91737649063035,-0.002951541850220174,-87.91737649063035,0.0006607929515418665,-79.24707552526975,-0.0017474302496327532
146.02214650766612,-0.1409691629955947,-55.40374787052812,-0.0011453744493390428,-50.758943781942094,-0.0006527833400078453,-3.381942078364574,-0.0065638766519822145,-61.90647359454857,0.0006607929515418665,-49.36550255536629,-0.002951541850220174
211.72913117546844,-0.14537444933920707,-13.600511073253841,0.006243492190628919,-30.32180579216356,0.00016820184221089107,17.158413780049187,-0.0065638766519822145,6.836626916524693,-0.0005433186490453323,-32.38616316486848,-0.002951541850220174
278.5689948892675,-0.14317180616740077,6.836626916524693,0.02134961954345238,-9.884667802385025,-0.0006527833400078453,35.63441226575807,0.08645374449339216,34.70545144804086,0.47568281938326007,-9.884667802385025,-0.002951541850220174
404.31856899488923,-0.1409691629955947,22.62896081771717,0.05123348017621154,10.55247018739351,-0.0024589507408889766,70.00596252129469,-0.004757709251101305,36.563373083475284,0.19392070484581514,18.913117546848355,0.006982378854625715
514.2078364565588,-0.14317180616740077,39.814735945485495,0.11061123348017632,27.893072118114674,0.0036710719530104186,144.5550681431005,0.0015638766519825431,48.639863713798945,0.0006607929515418665,34.70545144804086,0.567797356828194
593.5093696763203,-0.14317180616740077,30.989608177172045,0.36731277533039663,34.240971039182256,0.08600220264317193,162.90204429301528,0.009034841810172223,85.24091993185684,-0.0065638766519822145,40.2792163543441,0.04400881057268724
656.9505962521295,-0.14537444933920707,34.240971039182256,0.5583149779735684,38.42129471890968,0.01917400881057274,183.33918228279381,0.027424909891870408,110.46736702631077,-0.0065638766519822145,51.42674616695058,0.0031237484981980757
700,-0.14537444933920707,34.70545144804086,0.6183700440528636,34.240971039182256,0.33435022026431727,202.84735945485514,0.0600837004405288,129.4594548551959,-0.0065638766519822145,73.95404599659281,-0.0020484581497797194
35,-0.14317180616740077,36.563373083475284,0.504581497797357,33.77649063032365,0.27881057268722476,219.17052810902894,0.09948395217117678,148.96763202725722,-0.0065638766519822145,94.15894378194204,-0.0037725270324389104
,,38.42129471890968,0.2751982378854627,33.77649063032365,0.23907488986784153,232.57410562180573,0.14033773861967713,188.0872042400151,0.0006607929515418665,114.59608177172058,-0.002951541850220174
,,38.42129471890968,0.22191629955947145,35.324758659852336,0.1987371512481645,242.792674616695,0.18127753303964766,211.20800681431004,0.005422507008410182,135.0332197614991,-0.002951541850220174
,,59.415809199318545,0.11914537444933937,34.70545144804086,0.15599118942731294,252.0822827938671,0.22209691629955963,231.64514480408857,0.01149779735682821,155.47035775127765,-0.002951541850220174
