return_code,duration,identifier,success,iteration,input,codec_type,codec_slug,workflow_type,workflow_slug
0,31.463042736053467,workflow,True,1,DNA_in_silica_nanoparticles.zip,DNARSCodec,coderate_0-70,PhotolithographyChallengeWorkflow,photolithography-challenge
0,2527.622426509857,decoding,True,1,DNA_in_silica_nanoparticles.zip,DNARSCodec,coderate_0-70,PhotolithographyChallengeWorkflow,photolithography-challenge
0,31.517733812332153,workflow,True,2,DNA_in_silica_nanoparticles.zip,DNARSCodec,coderate_0-70,PhotolithographyChallengeWorkflow,photolithography-challenge
0,2496.1869876384735,decoding,True,2,DNA_in_silica_nanoparticles.zip,DNARSCodec,coderate_0-70,PhotolithographyChallengeWorkflow,photolithography-challenge
0,31.45624279975891,workflow,True,3,DNA_in_silica_nanoparticles.zip,DNARSCodec,coderate_0-70,PhotolithographyChallengeWorkflow,photolithography-challenge
0,2553.2961683273315,decoding,True,3,DNA_in_silica_nanoparticles.zip,DNARSCodec,coderate_0-70,PhotolithographyChallengeWorkflow,photolithography-challenge
