success,failed_at,iteration,input,codec_type,codec_slug,workflow_type,workflow_slug,filesize_byte,filesize_bit,n_sequences,n_bases,sequence_length,code_rate
True,,1,DNA_in_silica_nanoparticles.zip,DNARSCodec,coderate_0-50,PhotolithographyChallengeWorkflow,photolithography-challenge,51632,413056,11500,828000,72.0,0.4988599033816425
True,,2,DNA_in_silica_nanoparticles.zip,DNARSCodec,coderate_0-50,PhotolithographyChallengeWorkflow,photolithography-challenge,51632,413056,11500,828000,72.0,0.4988599033816425
True,,3,DNA_in_silica_nanoparticles.zip,DNARSCodec,coderate_0-50,PhotolithographyChallengeWorkflow,photolithography-challenge,51632,413056,11500,828000,72.0,0.4988599033816425
