return_code,duration,identifier,success,iteration,input,codec_type,codec_slug,workflow_type,workflow_slug
0,65.19393491744995,workflow,True,1,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_photolithography_0-30,PhotolithographyChallengeWorkflow,photolithography-challenge
1,9.127072811126709,decoding,False,1,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_photolithography_0-30,PhotolithographyChallengeWorkflow,photolithography-challenge
0,65.09027600288391,workflow,True,2,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_photolithography_0-30,PhotolithographyChallengeWorkflow,photolithography-challenge
1,8.927335739135742,decoding,False,2,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_photolithography_0-30,PhotolithographyChallengeWorkflow,photolithography-challenge
0,64.99467921257019,workflow,True,3,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_photolithography_0-30,PhotolithographyChallengeWorkflow,photolithography-challenge
1,8.672291994094849,decoding,False,3,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_photolithography_0-30,PhotolithographyChallengeWorkflow,photolithography-challenge
