return_code,duration,identifier,success,iteration,input,codec_type,codec_slug,workflow_type,workflow_slug
0,4.162583827972412,workflow,True,1,DNA_in_silica_nanoparticles.zip,DBGPSCodec,coderate_1-10,DecayChallengeWorkflow,decay-challenge
0,77.22615694999695,decoding,True,1,DNA_in_silica_nanoparticles.zip,DBGPSCodec,coderate_1-10,DecayChallengeWorkflow,decay-challenge
0,4.110995531082153,workflow,True,2,DNA_in_silica_nanoparticles.zip,DBGPSCodec,coderate_1-10,DecayChallengeWorkflow,decay-challenge
0,77.6091661453247,decoding,True,2,DNA_in_silica_nanoparticles.zip,DBGPSCodec,coderate_1-10,DecayChallengeWorkflow,decay-challenge
0,4.110968589782715,workflow,True,3,DNA_in_silica_nanoparticles.zip,DBGPSCodec,coderate_1-10,DecayChallengeWorkflow,decay-challenge
0,82.06453943252563,decoding,True,3,DNA_in_silica_nanoparticles.zip,DBGPSCodec,coderate_1-10,DecayChallengeWorkflow,decay-challenge
