success,failed_at,iteration,input,codec_type,codec_slug,workflow_type,workflow_slug,filesize_byte,filesize_bit,n_sequences,n_bases,sequence_length,code_rate
True,,1,DNA_in_silica_nanoparticles.zip,DBGPSCodec,coderate_1-10,DecayChallengeWorkflow,decay-challenge,51632,413056,2300,460000,200.0,0.8979478260869566
True,,2,DNA_in_silica_nanoparticles.zip,DBGPSCodec,coderate_1-10,DecayChallengeWorkflow,decay-challenge,51632,413056,2300,460000,200.0,0.8979478260869566
True,,3,DNA_in_silica_nanoparticles.zip,DBGPSCodec,coderate_1-10,DecayChallengeWorkflow,decay-challenge,51632,413056,2300,460000,200.0,0.8979478260869566
