success,failed_at,iteration,input,codec_type,codec_slug,workflow_type,workflow_slug,filesize_byte,filesize_bit,n_sequences,n_bases,sequence_length,code_rate
False,,1,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_decay_0-30,DecayChallengeWorkflow,decay-challenge,51632,413056,9039,1373928,152.0,0.3006387525401622
False,,2,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_decay_0-30,DecayChallengeWorkflow,decay-challenge,51632,413056,9039,1373928,152.0,0.3006387525401622
False,,3,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_decay_0-30,DecayChallengeWorkflow,decay-challenge,51632,413056,9039,1373928,152.0,0.3006387525401622
