success,failed_at,iteration,input,codec_type,codec_slug,workflow_type,workflow_slug,filesize_byte,filesize_bit,n_sequences,n_bases,sequence_length,code_rate
False,decoding,1,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_decay_0-50,DecayChallengeWorkflow,decay-challenge,51632,413056,5488,834176,152.0,0.49516648764769067
False,decoding,2,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_decay_0-50,DecayChallengeWorkflow,decay-challenge,51632,413056,5488,834176,152.0,0.49516648764769067
False,decoding,3,DNA_in_silica_nanoparticles.zip,DNAFountainCodec,coderate_decay_0-50,DecayChallengeWorkflow,decay-challenge,51632,413056,5488,834176,152.0,0.49516648764769067
