return_code,duration,identifier,success,iteration,input,codec_type,codec_slug,workflow_type,workflow_slug
0,36.513803482055664,workflow,True,1,DNA_in_silica_nanoparticles.zip,DNARSCodec,coderate_0-60,PhotolithographyChallengeWorkflow,photolithography-challenge
0,3485.6172931194305,decoding,True,1,DNA_in_silica_nanoparticles.zip,DNARSCodec,coderate_0-60,PhotolithographyChallengeWorkflow,photolithography-challenge
0,36.41372227668762,workflow,True,2,DNA_in_silica_nanoparticles.zip,DNARSCodec,coderate_0-60,PhotolithographyChallengeWorkflow,photolithography-challenge
0,3515.7887754440308,decoding,True,2,DNA_in_silica_nanoparticles.zip,DNARSCodec,coderate_0-60,PhotolithographyChallengeWorkflow,photolithography-challenge
0,36.41367506980896,workflow,True,3,DNA_in_silica_nanoparticles.zip,DNARSCodec,coderate_0-60,PhotolithographyChallengeWorkflow,photolithography-challenge
0,3518.676432609558,decoding,True,3,DNA_in_silica_nanoparticles.zip,DNARSCodec,coderate_0-60,PhotolithographyChallengeWorkflow,photolithography-challenge
